,TRACTNUM,TRACT,SevCrwd,TeenBirthProportion,TeenBirthAllWom,SingMother,MaltrtAllegRate,FosterCareEntry,TotalPov,ChildPov,ProxOffAlco,ProxOnAlco,HghSchOrHigh,TraffInjur,SNAP_FdStmp,PovertyRt,VoterPartic,TotalPopulation,ZIP,City,Longitude,Latitude,CES20Score,CES20PercentileRange,PollutionBurdenScore,PollutionBurdenPctl,LowBirthWeight,LowBirthWeightPctl,Education,EducationPctl,Poverty,PovertyPctl,Unemployment,UnemploymentPctl,PopCharScore,PopCharPctl,NeighborhoodName,n_FoodDesert,pct_FoodDesert,LiqCount,Uninsured
0,6073005000,50.0,0.11,0.12727273,0.014028057,0.14119923,157.89999,8.1000004,42.799999,45.900002,100.0,95.734169,40.700001,168.23,0.21856867,0.42399999,44.0944882,2227.0,92113.0,San Diego,-117.1411746,32.6948502,59.906574583723405,96-100% (highest scores),7.203311756006499,91.9228375855632,0.05237909999999999,67.6757568176132,46.8,90.5961270725225,74.85594552,96.6460723742277,,,8.316532258064509,95.14611814875201,Barrio Logan,160.950368,0.21039263800000002,556.75,0.22624671899999999
1,6073020028,200.28,0.11800000000000001,0.074468084,0.0062500001,0.22142121,,0.0,41.0,50.200001,100.0,100.0,50.900002,11.26,0.20597322,0.37,37.244898,3479.0,92069.0,San Marcos,-117.17009750000001,33.14180519999999,19.5256443945991,36-40%,3.41079351225544,17.647790914748,0.049469,32.837127845884396,55.1,95.54486773826099,71.79487179,95.0699785651242,4.31,5.17461126688759,5.7246632856667805,59.814373510598294,San Marcos,920.5447713,0.700034047,,0.190999196
2,6073004501,45.01,0.056000002,0.69999999,0.039018951,0.048,24.4,1.9,17.5,25.6,100.0,100.0,71.599998,6.0700002,0.0832,0.15099999,53.68682679999999,2875.0,92102.0,San Diego,-117.13817350000001,32.717632,21.3771084068079,41-45%,4.277644434746771,35.955196017423795,0.0503795,44.45834375781839,18.0,56.5118339450702,48.19540649,72.33640146261509,5.66,11.534539892939101,4.99740189557699,47.8113633513107,Golden Hill,0.0,0.0,958.33331,0.144167278
3,6073004800,48.0,0.15099999,0.0,0.0,0.19825919,79.599998,0.80000001,33.400002,39.799999,100.0,82.527336,51.700001,20.41,0.13346228,0.428,46.9714286,4115.0,92102.0,San Diego,-117.13814009999999,32.708456,36.215038109935705,71-75%,4.59330375542464,42.8998133167393,0.055758100000000005,88.6289717287966,47.0,90.78597645867609,72.60609358,95.5365023326188,10.62,51.4529696660719,7.88431160625208,91.27053806597272,Grant Hill,0.0,0.0,1028.75,0.13736713
4,6073003601,36.01,0.016000001,0.0,0.0,0.31763121,86.0,4.099999899999999,25.9,33.599998,67.384613,50.830769000000004,32.299999,52.099998,0.13324361,0.46900001,42.5956739,3250.0,92113.0,San Diego,-117.11651509999999,32.6909862,55.61267326279489,96-100% (highest scores),6.64605910732902,84.6546359676416,0.0503985,44.72104078058539,65.3,99.0254398177446,76.63639211,97.50346740638001,17.84,88.5929135865409,8.36776687728633,95.7356076759062,South Crest,423.19865210000006,0.355928219,1625.0,0.1365487
5,6073018603,186.03,0.059000000000000004,0.0,0.0,0.15083252,92.800003,0.0,17.1,23.200001,56.196769999999994,41.762115,65.199997,65.599998,0.05239960900000001,0.18600000000000003,47.6578411,6810.0,92058.0,Oceanside,-117.3586267,33.2115108,24.020374091622,51-55%,4.67512788808883,44.6172993154947,0.050402499999999996,44.758568926695006,35.6,80.95177825591699,49.22123331,73.59727650989791,8.64,34.6163650267652,5.13790738277353,50.081525147372396,Camp Pendleton South,256.5471084,0.139731541,,0.136524524
6,6073020207,202.07,0.059999999000000005,0.0,0.0,0.15959005,85.300003,6.0999999,22.9,27.200001,51.899265,51.899265,60.400002,19.99,0.08931186099999999,0.19,49.5136187,4765.0,92027.0,Escondido,-117.05397830000001,33.1334707,24.0196776986024,51-55%,3.2180522219797796,14.113254511512102,0.05225319999999999,66.1245934450838,47.8,91.3428679913935,64.2751635399999,89.5977808599168,12.91,67.48661738465451,7.4640422347854996,86.1532672770601,Town & Country Mh Park,152.2706375,0.09296131699999999,,0.132306394
7,6073019501,195.01,0.082000002,0.0,0.0,0.16666667,57.400002,0.0,23.9,25.0,44.827587,17.120810000000002,38.799999,17.469998999999998,0.10539216,0.18799999,37.137330799999994,4147.0,92083.0,Vista,-117.2495976,33.208474100000004,23.474373405064803,46-50%,3.0454336072926496,11.6614810205352,0.05233530000000001,67.1378533900424,55.6,95.7853436273889,72.75707899,95.6121548354558,11.52,58.144277338771296,7.70805620219488,89.21359588611558,Vista Manor Trailer Pa,10.32164598,0.00636353,,0.125525526
8,6073019502,195.02,0.041999999,0.0,0.0,0.13998564,93.5,1.0,23.6,32.5,67.594048,89.361328,51.400002,7.829999900000001,0.088298634,0.25999999,41.59811989999999,5715.0,92084.0,Vista,-117.24066509999999,33.207786999999996,22.713594410699702,46-50%,3.14713797367081,13.005600497822002,0.0553558,87.02777082812109,60.5,97.8736868750791,66.79216867,91.7538771907704,8.69,35.0114708131532,7.21722231459927,82.1648062209959,Sycamore Creek Mh Park,0.0,0.0,,0.124091671
9,6073003602,36.02,0.07,0.0,0.0,0.22457068,112.1,1.9,31.799999,34.599998,85.4823,,39.400002,12.19,0.13474241,0.377,46.1632156,3079.0,92113.0,San Diego,-117.1074107,32.6929366,41.7395506292286,81-85%,4.87077848085921,49.172370877411296,0.059652199999999996,97.1228421315987,58.7,97.20288571066949,70.47279215,94.3386710377002,12.67,66.0463930665307,8.56937978051214,97.1027216856892,South Crest,92.35527992,0.086313346,1026.3334,0.120059435
