,school,conference,position,height
855,Northern Illinois University,Mid-American Conference,G,5-10
856,Northern Illinois University,Mid-American Conference,G,5-6
857,Northern Illinois University,Mid-American Conference,F,6-1
858,Northern Illinois University,Mid-American Conference,F,6-1
859,Northern Illinois University,Mid-American Conference,F,5-11
860,Northern Kentucky University,Atlantic Sun Conference,G,5-8
861,Northern Kentucky University,Atlantic Sun Conference,F,6-0
862,Northern Kentucky University,Atlantic Sun Conference,C,6-2
863,Northern Kentucky University,Atlantic Sun Conference,G,5-7
864,Northern Kentucky University,Atlantic Sun Conference,C,6-1
865,Northern Kentucky University,Atlantic Sun Conference,G,5-4
866,Northern Kentucky University,Atlantic Sun Conference,G,5-9
867,Northern Kentucky University,Atlantic Sun Conference,F,6-0
868,Northern Kentucky University,Atlantic Sun Conference,G,5-11
869,Northern Kentucky University,Atlantic Sun Conference,F,5-11
870,Northern Kentucky University,Atlantic Sun Conference,F,5-11
871,Northern Kentucky University,Atlantic Sun Conference,F,6-1
872,Northern Kentucky University,Atlantic Sun Conference,G,5-10
873,Northern Arizona University,Big Sky Conference,C,6-2
874,Northern Arizona University,Big Sky Conference,F,6-0
875,Northern Arizona University,Big Sky Conference,F,6-0
876,Northern Arizona University,Big Sky Conference,G,5-8
877,Northern Arizona University,Big Sky Conference,F,6-0
878,Northern Arizona University,Big Sky Conference,G,5-11
879,Northern Arizona University,Big Sky Conference,G,5-7
880,Northern Arizona University,Big Sky Conference,G,5-8
881,Northern Arizona University,Big Sky Conference,G,5-3
882,Northern Arizona University,Big Sky Conference,F,5-10
883,Northern Arizona University,Big Sky Conference,G,5-8
884,Northern Arizona University,Big Sky Conference,F,5-11
885,University of Northern Colorado,Big Sky Conference,G,5-10
886,University of Northern Colorado,Big Sky Conference,G,5-9
887,University of Northern Colorado,Big Sky Conference,G,5-9
888,University of Northern Colorado,Big Sky Conference,C,6-1
889,University of Northern Colorado,Big Sky Conference,C,6-1
890,University of Northern Colorado,Big Sky Conference,G,5-6
891,University of Northern Colorado,Big Sky Conference,G,6-0
892,University of Northern Colorado,Big Sky Conference,G,5-7
893,University of Northern Colorado,Big Sky Conference,G,5-6
894,University of Northern Colorado,Big Sky Conference,G,5-10
895,University of Northern Colorado,Big Sky Conference,F,5-10
896,University of Northern Colorado,Big Sky Conference,F,5-11
897,University of Northern Colorado,Big Sky Conference,G,5-9
898,University of Northern Colorado,Big Sky Conference,F,6-2
899,Northeastern University,Colonial Athletic Association,F,6-0
900,Northeastern University,Colonial Athletic Association,G,5-10
901,Northeastern University,Colonial Athletic Association,F,6-0
902,Northeastern University,Colonial Athletic Association,G,5-11
903,Northeastern University,Colonial Athletic Association,G,5-7
904,Northeastern University,Colonial Athletic Association,G,5-7
905,Northeastern University,Colonial Athletic Association,G,5-9
906,Northeastern University,Colonial Athletic Association,G,5-7
907,Northeastern University,Colonial Athletic Association,C,6-2
908,Northeastern University,Colonial Athletic Association,,-
909,Northeastern University,Colonial Athletic Association,G,5-9
910,Northeastern University,Colonial Athletic Association,F,5-11
911,Northeastern University,Colonial Athletic Association,F,6-2
912,Northeastern University,Colonial Athletic Association,G,6-2
913,North Carolina Central University,Mid-Eastern Athletic Conf.,,-
914,North Carolina Central University,Mid-Eastern Athletic Conf.,,-
915,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-9
916,North Carolina Central University,Mid-Eastern Athletic Conf.,F,5-10
917,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-8
918,North Carolina Central University,Mid-Eastern Athletic Conf.,C,6-0
919,North Carolina Central University,Mid-Eastern Athletic Conf.,F,5-11
920,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-3
921,North Carolina Central University,Mid-Eastern Athletic Conf.,,-
922,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-9
923,North Carolina Central University,Mid-Eastern Athletic Conf.,,-
924,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-8
925,North Carolina Central University,Mid-Eastern Athletic Conf.,G,5-5
926,North Carolina Central University,Mid-Eastern Athletic Conf.,F,5-11
927,University of North Florida,Atlantic Sun Conference,G,5-7
928,University of North Florida,Atlantic Sun Conference,G,5-7
929,University of North Florida,Atlantic Sun Conference,F,6-3
930,University of North Florida,Atlantic Sun Conference,G,5-10
931,University of North Florida,Atlantic Sun Conference,C,6-2
932,University of North Florida,Atlantic Sun Conference,G,5-10
933,University of North Florida,Atlantic Sun Conference,G,5-10
934,University of North Florida,Atlantic Sun Conference,G,5-4
935,University of North Florida,Atlantic Sun Conference,G,5-8
936,University of North Florida,Atlantic Sun Conference,G,5-10
937,University of North Florida,Atlantic Sun Conference,G,5-8
938,University of North Florida,Atlantic Sun Conference,F,6-3
939,University of North Florida,Atlantic Sun Conference,G,5-7
940,University of North Florida,Atlantic Sun Conference,F,6-1
941,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-7
942,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-10
943,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-8
944,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-11
945,North Carolina A&T State University,Mid-Eastern Athletic Conf.,F,6-2
946,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-8
947,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-9
948,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,6-1
949,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-9
950,North Carolina A&T State University,Mid-Eastern Athletic Conf.,C,6-3
951,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-8
952,North Carolina A&T State University,Mid-Eastern Athletic Conf.,C,6-2
953,North Carolina A&T State University,Mid-Eastern Athletic Conf.,C,6-2
954,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-10
955,North Carolina A&T State University,Mid-Eastern Athletic Conf.,F,6-1
956,North Carolina A&T State University,Mid-Eastern Athletic Conf.,G,5-10
957,University of North Texas,Conference USA,G,5-8
958,University of North Texas,Conference USA,F,6-1
959,University of North Texas,Conference USA,G,5-10
960,University of North Texas,Conference USA,G,5-6
961,University of North Texas,Conference USA,G,5-11
962,University of North Texas,Conference USA,F,5-10
963,University of North Texas,Conference USA,F,6-0
964,University of North Texas,Conference USA,G,5-8
965,University of North Texas,Conference USA,F,6-1
966,University of North Texas,Conference USA,G,5-4
967,University of North Texas,Conference USA,F,6-3
968,University of North Texas,Conference USA,F,6-0
969,North Dakota State University,The Summit League,G,5-9
970,North Dakota State University,The Summit League,F,6-0
971,North Dakota State University,The Summit League,F,5-11
972,North Dakota State University,The Summit League,F,6-1
973,North Dakota State University,The Summit League,F,6-0
974,North Dakota State University,The Summit League,F,6-0
975,North Dakota State University,The Summit League,G,5-6
976,North Dakota State University,The Summit League,F,6-1
977,North Dakota State University,The Summit League,G,5-8
978,North Dakota State University,The Summit League,F,5-11
979,North Dakota State University,The Summit League,G,5-9
980,North Dakota State University,The Summit League,G,5-9
981,North Carolina State University,Atlantic Coast Conference,G,5-9
982,North Carolina State University,Atlantic Coast Conference,C,6-5
983,North Carolina State University,Atlantic Coast Conference,G,5-5
984,North Carolina State University,Atlantic Coast Conference,G,5-11
985,North Carolina State University,Atlantic Coast Conference,G,5-9
986,North Carolina State University,Atlantic Coast Conference,C,6-5
987,North Carolina State University,Atlantic Coast Conference,F,6-1
988,North Carolina State University,Atlantic Coast Conference,G,5-11
989,North Carolina State University,Atlantic Coast Conference,F,6-1
990,North Carolina State University,Atlantic Coast Conference,F,6-1
991,North Carolina State University,Atlantic Coast Conference,G,5-8
992,North Carolina State University,Atlantic Coast Conference,G,5-8
993,North Carolina State University,Atlantic Coast Conference,G,5-8
994,University of North Carolina,Atlantic Coast Conference,G,6-0
995,University of North Carolina,Atlantic Coast Conference,G,6-0
996,University of North Carolina,Atlantic Coast Conference,G,5-10
997,University of North Carolina,Atlantic Coast Conference,G,5-8
998,University of North Carolina,Atlantic Coast Conference,G,5-9
999,University of North Carolina,Atlantic Coast Conference,F,6-2
1000,University of North Carolina,Atlantic Coast Conference,G,6-0
1001,University of North Carolina,Atlantic Coast Conference,G,6-2
1002,University of North Carolina,Atlantic Coast Conference,F,6-3
1003,University of North Carolina,Atlantic Coast Conference,F,6-2
1004,University of North Carolina,Atlantic Coast Conference,G,5-9
1005,University of North Carolina,Atlantic Coast Conference,F,6-2
1006,University of North Carolina,Atlantic Coast Conference,G,5-8
1007,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-5
1008,Norfolk State University,Mid-Eastern Athletic Conf.,F,5-10
1009,Norfolk State University,Mid-Eastern Athletic Conf.,F,5-9
1010,Norfolk State University,Mid-Eastern Athletic Conf.,F,5-11
1011,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-6
1012,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-5
1013,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-4
1014,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-5
1015,Norfolk State University,Mid-Eastern Athletic Conf.,G,5-6
1016,Norfolk State University,Mid-Eastern Athletic Conf.,F,5-10
1017,Norfolk State University,Mid-Eastern Athletic Conf.,F,6-0
1018,Norfolk State University,Mid-Eastern Athletic Conf.,F,6-1
1019,Norfolk State University,Mid-Eastern Athletic Conf.,F,6-0
1020,Norfolk State University,Mid-Eastern Athletic Conf.,C,6-3
1021,Nicholls State University,Southland Conference,F,6-1
1022,Nicholls State University,Southland Conference,C,6-2
1023,Nicholls State University,Southland Conference,G,5-6
1024,Nicholls State University,Southland Conference,F,5-9
1025,Nicholls State University,Southland Conference,F,6-1
1026,Nicholls State University,Southland Conference,C,6-1
1027,Nicholls State University,Southland Conference,C,6-3
1028,Nicholls State University,Southland Conference,C,6-4
1029,Nicholls State University,Southland Conference,G,5-8
1030,Nicholls State University,Southland Conference,G,5-10
1031,Nicholls State University,Southland Conference,G,5-7
1032,Nicholls State University,Southland Conference,G,5-7
1033,Nicholls State University,Southland Conference,G,5-4
1034,University of North Dakota,Big Sky Conference,G,6-0
1035,University of North Dakota,Big Sky Conference,F,6-1
1036,University of North Dakota,Big Sky Conference,G,5-9
1037,University of North Dakota,Big Sky Conference,C,6-5
1038,University of North Dakota,Big Sky Conference,C,6-2
1039,University of North Dakota,Big Sky Conference,G,5-3
1040,University of North Dakota,Big Sky Conference,G,5-7
1041,University of North Dakota,Big Sky Conference,G,6-0
1042,University of North Dakota,Big Sky Conference,,-
1043,University of North Dakota,Big Sky Conference,F,5-11
1044,University of North Dakota,Big Sky Conference,C,6-3
1045,University of North Dakota,Big Sky Conference,G,5-5
1046,University of North Dakota,Big Sky Conference,F,6-3
1047,University of North Dakota,Big Sky Conference,,-
1048,University of North Dakota,Big Sky Conference,,-
1049,University of North Dakota,Big Sky Conference,G,5-9
1050,University of North Dakota,Big Sky Conference,,-
1051,University of North Dakota,Big Sky Conference,,-
1052,Niagara University,Metro Atlantic Athletic Conference,F,6-1
1053,Niagara University,Metro Atlantic Athletic Conference,G,5-5
1054,Niagara University,Metro Atlantic Athletic Conference,G,5-11
1055,Niagara University,Metro Atlantic Athletic Conference,G,5-11
1056,Niagara University,Metro Atlantic Athletic Conference,G,5-7
1057,Niagara University,Metro Atlantic Athletic Conference,C,6-3
1058,Niagara University,Metro Atlantic Athletic Conference,G,5-7
1059,Niagara University,Metro Atlantic Athletic Conference,G,5-10
1060,Niagara University,Metro Atlantic Athletic Conference,G,5-10
1061,Niagara University,Metro Atlantic Athletic Conference,F,6-0
1062,Niagara University,Metro Atlantic Athletic Conference,F,6-2
1063,Niagara University,Metro Atlantic Athletic Conference,G,5-7
1064,Niagara University,Metro Atlantic Athletic Conference,F,5-11
1065,Niagara University,Metro Atlantic Athletic Conference,G,5-9
1066,Niagara University,Metro Atlantic Athletic Conference,C,6-4
1067,University of New Orleans,Southland Conference,G,5-10
1068,University of New Orleans,Southland Conference,G,5-7
1069,University of New Orleans,Southland Conference,G,5-7
1070,University of New Orleans,Southland Conference,G,5-7
1071,University of New Orleans,Southland Conference,F,6-0
1072,University of New Orleans,Southland Conference,G,5-8
1073,University of New Orleans,Southland Conference,G,5-8
1074,University of New Orleans,Southland Conference,F,6-1
1075,University of New Orleans,Southland Conference,G,5-7
1076,University of New Orleans,Southland Conference,F,5-10
1077,University of New Orleans,Southland Conference,G,5-7
1078,University of New Orleans,Southland Conference,F,6-0
1079,University of New Orleans,Southland Conference,G,5-8
1080,University of New Orleans,Southland Conference,G,5-6
1081,University of New Orleans,Southland Conference,F,5-10
1082,University of New Orleans,Southland Conference,F,6-0
1083,University of New Orleans,Southland Conference,G,5-10
1084,University of New Orleans,Southland Conference,G,5-9
1085,University of New Orleans,Southland Conference,G,5-3
1086,New Mexico State University,Western Athletic Conference,F,5-11
1087,New Mexico State University,Western Athletic Conference,G,5-6
1088,New Mexico State University,Western Athletic Conference,F,6-2
1089,New Mexico State University,Western Athletic Conference,F,6-1
1090,New Mexico State University,Western Athletic Conference,G,5-4
1091,New Mexico State University,Western Athletic Conference,F,5-9
1092,New Mexico State University,Western Athletic Conference,G,5-8
1093,New Mexico State University,Western Athletic Conference,F,6-0
1094,New Mexico State University,Western Athletic Conference,G,6-0
1095,New Mexico State University,Western Athletic Conference,G,6-1
1096,New Mexico State University,Western Athletic Conference,F,6-4
1097,New Mexico State University,Western Athletic Conference,F,5-11
1098,New Mexico State University,Western Athletic Conference,G,6-0
1099,New Mexico State University,Western Athletic Conference,G,5-9
1100,New Mexico State University,Western Athletic Conference,G,5-6
1101,University of New Mexico,Mountain West Conference,G,5-4
1102,University of New Mexico,Mountain West Conference,G,5-10
1103,University of New Mexico,Mountain West Conference,G,5-11
1104,University of New Mexico,Mountain West Conference,G,5-10
1105,University of New Mexico,Mountain West Conference,G,5-6
1106,University of New Mexico,Mountain West Conference,F,6-0
1107,University of New Mexico,Mountain West Conference,F,5-11
1108,University of New Mexico,Mountain West Conference,C,6-4
1109,University of New Mexico,Mountain West Conference,G,5-11
1110,University of New Mexico,Mountain West Conference,G,5-10
1111,University of New Mexico,Mountain West Conference,C,6-2
1112,University of New Mexico,Mountain West Conference,G,5-4
1113,University of New Mexico,Mountain West Conference,G,5-4
1114,University of New Mexico,Mountain West Conference,G,5-8
1115,University of New Mexico,Mountain West Conference,F,6-0
1116,University of New Mexico,Mountain West Conference,C,6-2
1117,University of New Hampshire,America East Conference,G,5-7
1118,University of New Hampshire,America East Conference,C,6-2
1119,University of New Hampshire,America East Conference,G,5-10
1120,University of New Hampshire,America East Conference,G,5-10
1121,University of New Hampshire,America East Conference,C,6-4
1122,University of New Hampshire,America East Conference,G,5-10
1123,University of New Hampshire,America East Conference,G,5-7
1124,University of New Hampshire,America East Conference,F,6-4
1125,University of New Hampshire,America East Conference,G,5-11
1126,University of New Hampshire,America East Conference,G,5-6
1127,University of New Hampshire,America East Conference,C,6-2
1128,University of New Hampshire,America East Conference,G,5-9
1129,University of New Hampshire,America East Conference,G,5-9
1130,University of New Hampshire,America East Conference,G,5-10
1131,University of Nevada,Mountain West Conference,F,6-0
1132,University of Nevada,Mountain West Conference,F,5-10
1133,University of Nevada,Mountain West Conference,F,6-0
1134,University of Nevada,Mountain West Conference,G,5-6
1135,University of Nevada,Mountain West Conference,F,6-1
1136,University of Nevada,Mountain West Conference,G,5-9
1137,University of Nevada,Mountain West Conference,G,5-8
1138,University of Nevada,Mountain West Conference,G,5-9
1139,University of Nevada,Mountain West Conference,F,6-0
1140,University of Nevada,Mountain West Conference,G,5-8
1141,University of Nevada,Mountain West Conference,C,6-8
1142,University of Nevada,Mountain West Conference,G,5-9
1143,University of Nevada,Mountain West Conference,F,6-3
1144,University of Nevada,Mountain West Conference,G,5-11
1145,University of Nevada,Mountain West Conference,F,6-2
1146,U.S. Naval Academy,Patriot League,G,5-7
1147,U.S. Naval Academy,Patriot League,F,5-11
1148,U.S. Naval Academy,Patriot League,G,5-4
1149,U.S. Naval Academy,Patriot League,G,5-8
1150,U.S. Naval Academy,Patriot League,G,5-9
1151,U.S. Naval Academy,Patriot League,F,5-8
1152,U.S. Naval Academy,Patriot League,F,6-2
1153,U.S. Naval Academy,Patriot League,F,5-11
1154,U.S. Naval Academy,Patriot League,G,5-3
1155,U.S. Naval Academy,Patriot League,F,5-10
1156,U.S. Naval Academy,Patriot League,G,5-7
1157,U.S. Naval Academy,Patriot League,F,6-0
1158,U.S. Naval Academy,Patriot League,G,5-10
1159,U.S. Naval Academy,Patriot League,G,5-8
1160,U.S. Naval Academy,Patriot League,F,5-11
1161,Oregon State University,Pac-12 Conference,F,6-3
1162,Oregon State University,Pac-12 Conference,G,5-11
1163,Oregon State University,Pac-12 Conference,C,6-5
1164,Oregon State University,Pac-12 Conference,C,6-6
1165,Oregon State University,Pac-12 Conference,G,5-11
1166,Oregon State University,Pac-12 Conference,G,5-6
1167,Oregon State University,Pac-12 Conference,F,6-3
1168,Oregon State University,Pac-12 Conference,G,5-8
1169,Oregon State University,Pac-12 Conference,F,6-3
1170,Oregon State University,Pac-12 Conference,F,6-3
1171,Oregon State University,Pac-12 Conference,G,5-10
1172,Oregon State University,Pac-12 Conference,G,6-0
1173,University of Nebraska-Omaha,The Summit League,G,5-6
1174,University of Nebraska-Omaha,The Summit League,C,6-3
1175,University of Nebraska-Omaha,The Summit League,G,5-10
1176,University of Nebraska-Omaha,The Summit League,G,5-7
1177,University of Nebraska-Omaha,The Summit League,G,5-10
1178,University of Nebraska-Omaha,The Summit League,G,5-5
1179,University of Nebraska-Omaha,The Summit League,G,5-9
1180,University of Nebraska-Omaha,The Summit League,G,5-8
1181,University of Nebraska-Omaha,The Summit League,C,6-4
1182,University of Nebraska-Omaha,The Summit League,F,6-0
1183,University of Nebraska-Omaha,The Summit League,G,5-11
1184,University of Nebraska-Omaha,The Summit League,G,5-8
1185,University of Nebraska-Omaha,The Summit League,G,5-7
1186,University of Nebraska-Omaha,The Summit League,G,6-0
1187,University of Nebraska-Omaha,The Summit League,F,6-1
1188,Oral Roberts University,The Summit League,F,6-1
1189,Oral Roberts University,The Summit League,F,6-2
1190,Oral Roberts University,The Summit League,F,5-11
1191,Oral Roberts University,The Summit League,G,5-6
1192,Oral Roberts University,The Summit League,G,5-10
1193,Oral Roberts University,The Summit League,G,5-9
1194,Oral Roberts University,The Summit League,F,5-9
1195,Oral Roberts University,The Summit League,G,5-9
1196,Oral Roberts University,The Summit League,C,6-2
1197,Oral Roberts University,The Summit League,F,5-10
1198,Oral Roberts University,The Summit League,C,6-7
1199,Oral Roberts University,The Summit League,G,5-7
1200,Oral Roberts University,The Summit League,F,5-11
1201,Oklahoma State University,Big 12 Conference,G,5-10
1202,Oklahoma State University,Big 12 Conference,G,5-8
1203,Oklahoma State University,Big 12 Conference,G,5-8
1204,Oklahoma State University,Big 12 Conference,F,6-3
1205,Oklahoma State University,Big 12 Conference,F,6-3
1206,Oklahoma State University,Big 12 Conference,F,6-0
1207,Oklahoma State University,Big 12 Conference,G,5-5
1208,Oklahoma State University,Big 12 Conference,C,6-4
1209,Oklahoma State University,Big 12 Conference,G,5-7
1210,Oklahoma State University,Big 12 Conference,C,6-3
1211,Oklahoma State University,Big 12 Conference,F,6-0
1212,Oklahoma State University,Big 12 Conference,G,6-0
1213,Oklahoma State University,Big 12 Conference,G,5-11
1214,Oklahoma State University,Big 12 Conference,G,5-4
1215,Oklahoma State University,Big 12 Conference,F,5-10
1216,Oklahoma State University,Big 12 Conference,G,5-8
1217,University of Nebraska,Big Ten Conference,F,6-2
1218,University of Nebraska,Big Ten Conference,G,5-8
1219,University of Nebraska,Big Ten Conference,C,6-5
1220,University of Nebraska,Big Ten Conference,G,5-7
1221,University of Nebraska,Big Ten Conference,F,6-3
1222,University of Nebraska,Big Ten Conference,G,5-9
1223,University of Nebraska,Big Ten Conference,F,6-2
1224,University of Nebraska,Big Ten Conference,G,5-8
1225,University of Nebraska,Big Ten Conference,G,5-7
1226,University of Nebraska,Big Ten Conference,F,6-1
1227,University of Nebraska,Big Ten Conference,G,6-0
1228,University of Nebraska,Big Ten Conference,G,6-0
1229,University of Nebraska,Big Ten Conference,F,6-2
1230,University of Nebraska,Big Ten Conference,G,5-5
1231,University of Oklahoma,Big 12 Conference,G,5-10
1232,University of Oklahoma,Big 12 Conference,G,5-9
1233,University of Oklahoma,Big 12 Conference,G,5-5
1234,University of Oklahoma,Big 12 Conference,F,6-2
1235,University of Oklahoma,Big 12 Conference,G,6-1
1236,University of Oklahoma,Big 12 Conference,G,5-11
1237,University of Oklahoma,Big 12 Conference,G,6-2
1238,University of Oklahoma,Big 12 Conference,G,5-9
1239,University of Oklahoma,Big 12 Conference,G,5-9
1240,University of Oklahoma,Big 12 Conference,C,6-4
1241,University of Oklahoma,Big 12 Conference,G,5-8
1242,University of Oklahoma,Big 12 Conference,C,6-4
1243,University of Oklahoma,Big 12 Conference,F,6-3
1244,University of Oklahoma,Big 12 Conference,G,5-7
1245,University of Oklahoma,Big 12 Conference,G,5-10
1246,Old Dominion University,Conference USA,C,6-3
1247,Old Dominion University,Conference USA,G,5-4
1248,Old Dominion University,Conference USA,G,5-11
1249,Old Dominion University,Conference USA,G,5-5
1250,Old Dominion University,Conference USA,F,6-1
1251,Old Dominion University,Conference USA,G,5-9
1252,Old Dominion University,Conference USA,C,6-3
1253,Old Dominion University,Conference USA,F,6-0
1254,Old Dominion University,Conference USA,F,6-1
1255,Old Dominion University,Conference USA,F,6-1
1256,Old Dominion University,Conference USA,F,6-0
1257,Old Dominion University,Conference USA,F,6-1
1258,Old Dominion University,Conference USA,G,5-10
1259,Ohio University,Mid-American Conference,F,6-1
1260,Ohio University,Mid-American Conference,G,5-5
1261,Ohio University,Mid-American Conference,F,5-11
1262,Ohio University,Mid-American Conference,G,5-10
1263,Ohio University,Mid-American Conference,F,6-1
1264,Ohio University,Mid-American Conference,G,5-11
1265,Ohio University,Mid-American Conference,G,5-7
1266,Ohio University,Mid-American Conference,F,6-2
1267,Ohio University,Mid-American Conference,G,5-9
1268,Ohio University,Mid-American Conference,F,5-10
1269,Ohio University,Mid-American Conference,F,6-2
1270,Ohio University,Mid-American Conference,G,5-7
1271,Oakland University,Horizon League,G,5-9
1272,Oakland University,Horizon League,G,5-9
1273,Oakland University,Horizon League,G,5-8
1274,Oakland University,Horizon League,G,5-11
1275,Oakland University,Horizon League,C,6-3
1276,Oakland University,Horizon League,G,5-9
1277,Oakland University,Horizon League,F,6-1
1278,Oakland University,Horizon League,G,5-8
1279,Oakland University,Horizon League,G,5-8
1280,Oakland University,Horizon League,G,5-6
1281,Oakland University,Horizon League,F,6-2
1282,Oakland University,Horizon League,F,6-1
1283,Oakland University,Horizon League,F,6-1
1284,Oakland University,Horizon League,G,5-4
1285,Providence College,Big East Conference,F,6-3
1286,Providence College,Big East Conference,G,5-8
1287,Providence College,Big East Conference,G,6-0
1288,Providence College,Big East Conference,F,6-3
1289,Providence College,Big East Conference,F,6-2
1290,Providence College,Big East Conference,F,6-0
1291,Providence College,Big East Conference,G,5-11
1292,Providence College,Big East Conference,F,6-1
1293,Providence College,Big East Conference,F,6-1
1294,Providence College,Big East Conference,G,5-7
1295,Providence College,Big East Conference,G,5-8
1296,Providence College,Big East Conference,F,6-0
1297,Providence College,Big East Conference,G,5-10
1298,Princeton University,The Ivy League,G,5-8
1299,Princeton University,The Ivy League,G,5-8
1300,Princeton University,The Ivy League,G,5-10
1301,Princeton University,The Ivy League,G,5-8
1302,Princeton University,The Ivy League,G,5-10
1303,Princeton University,The Ivy League,F,6-4
1304,Princeton University,The Ivy League,F,6-0
1305,Princeton University,The Ivy League,G,5-9
1306,Princeton University,The Ivy League,C,6-3
1307,Princeton University,The Ivy League,G,6-0
1308,Princeton University,The Ivy League,G,6-1
1309,Princeton University,The Ivy League,G,6-0
1310,Princeton University,The Ivy League,G,5-10
1311,Princeton University,The Ivy League,F,6-2
1312,Princeton University,The Ivy League,F,6-3
1313,Presbyterian College,Big South Conference,F,6-0
1314,Presbyterian College,Big South Conference,G,5-10
1315,Presbyterian College,Big South Conference,G,6-0
1316,Presbyterian College,Big South Conference,G,5-7
1317,Presbyterian College,Big South Conference,G,5-8
1318,Presbyterian College,Big South Conference,F,6-1
1319,Presbyterian College,Big South Conference,C,6-3
1320,Presbyterian College,Big South Conference,G,5-7
1321,Presbyterian College,Big South Conference,G,5-6
1322,Presbyterian College,Big South Conference,F,6-1
1323,Presbyterian College,Big South Conference,G,5-6
1324,Presbyterian College,Big South Conference,G,5-9
1325,Presbyterian College,Big South Conference,F,6-3
1326,Presbyterian College,Big South Conference,F,6-3
1327,Prairie View A&M University,Southwestern Athletic Conf.,G,5-9
1328,Prairie View A&M University,Southwestern Athletic Conf.,F,5-9
1329,Prairie View A&M University,Southwestern Athletic Conf.,C,6-4
1330,Prairie View A&M University,Southwestern Athletic Conf.,G,5-9
1331,Prairie View A&M University,Southwestern Athletic Conf.,G,5-7
1332,Prairie View A&M University,Southwestern Athletic Conf.,C,6-3
1333,Prairie View A&M University,Southwestern Athletic Conf.,F,6-0
1334,Prairie View A&M University,Southwestern Athletic Conf.,G,5-7
1335,Prairie View A&M University,Southwestern Athletic Conf.,G,5-10
1336,Prairie View A&M University,Southwestern Athletic Conf.,C,6-4
1337,Prairie View A&M University,Southwestern Athletic Conf.,G,5-8
1338,Prairie View A&M University,Southwestern Athletic Conf.,F,6-0
1339,Prairie View A&M University,Southwestern Athletic Conf.,C,6-3
1340,Prairie View A&M University,Southwestern Athletic Conf.,G,5-9
1341,Prairie View A&M University,Southwestern Athletic Conf.,F,5-11
1342,Portland State University,Big Sky Conference,G,5-7
1343,Portland State University,Big Sky Conference,G,5-9
1344,Portland State University,Big Sky Conference,C,6-3
1345,Portland State University,Big Sky Conference,G,5-10
1346,Portland State University,Big Sky Conference,F,6-0
1347,Portland State University,Big Sky Conference,G,5-11
1348,Portland State University,Big Sky Conference,G,5-7
1349,Portland State University,Big Sky Conference,C,6-1
1350,Portland State University,Big Sky Conference,G,5-8
1351,Portland State University,Big Sky Conference,F,5-11
1352,Portland State University,Big Sky Conference,C,6-2
1353,Portland State University,Big Sky Conference,G,5-4
1354,Portland State University,Big Sky Conference,F,5-10
1355,University of Portland,West Coast Conference,G,6-2
1356,University of Portland,West Coast Conference,F,6-1
1357,University of Portland,West Coast Conference,F,6-1
1358,University of Portland,West Coast Conference,G,5-9
1359,University of Portland,West Coast Conference,G,5-10
1360,University of Portland,West Coast Conference,G,5-9
1361,University of Portland,West Coast Conference,G,5-8
1362,University of Portland,West Coast Conference,F,5-10
1363,University of Portland,West Coast Conference,G,5-9
1364,University of Portland,West Coast Conference,F,6-2
1365,University of Portland,West Coast Conference,G,5-9
1366,University of Portland,West Coast Conference,G,5-10
1367,University of Portland,West Coast Conference,G,5-8
1368,University of Portland,West Coast Conference,C,6-4
1369,University of Pittsburgh,Atlantic Coast Conference,C,6-11
1370,University of Pittsburgh,Atlantic Coast Conference,G,5-7
1371,University of Pittsburgh,Atlantic Coast Conference,F,6-2
1372,University of Pittsburgh,Atlantic Coast Conference,F,5-10
1373,University of Pittsburgh,Atlantic Coast Conference,G,5-8
1374,University of Pittsburgh,Atlantic Coast Conference,G,5-7
1375,University of Pittsburgh,Atlantic Coast Conference,F,6-0
1376,University of Pittsburgh,Atlantic Coast Conference,G,5-11
1377,University of Pittsburgh,Atlantic Coast Conference,G,5-6
1378,University of Pittsburgh,Atlantic Coast Conference,G,5-9
1379,University of Pittsburgh,Atlantic Coast Conference,F,6-3
1380,Pepperdine University,West Coast Conference,F,6-1
1381,Pepperdine University,West Coast Conference,C,6-2
1382,Pepperdine University,West Coast Conference,G,5-10
1383,Pepperdine University,West Coast Conference,G,5-10
1384,Pepperdine University,West Coast Conference,G,5-8
